rule,name,value
ruler_591_lr-rev,average,3.0204999999999997
ruler_592_r,average,3.0204999999999997
ruler_593_r,average,3.0204999999999997
ruler_594_r,average,3.0204999999999997
ruler_595_r,average,3.0204999999999997
ruler_596_r,average,3.0204999999999997
ruler_597_r,average,3.0204999999999997
ruler_598_r,average,3.0204999999999997
ruler_599_r,average,3.0204999999999997
ruler_600_r,average,3.0204999999999997
ruler_601_r,average,3.0204999999999997
ruler_602_r,average,3.0204999999999997
ruler_603_r,average,3.0204999999999997
ruler_604_r,average,3.0204999999999997
ruler_605_r,average,3.0204999999999997
ruler_606_r,average,3.0204999999999997
ruler_607_r,average,3.0204999999999997
ruler_608_r,average,3.0204999999999997
ruler_609_r,average,3.0204999999999997
ruler_610_r,average,3.0204999999999997
ruler_611_lr,average,3.0204999999999997
ruler_611_lr-rev,average,3.0204999999999997
ruler_612_r,average,3.0204999999999997
ruler_613_r,average,3.0204999999999997
ruler_614_r,average,3.0204999999999997
ruler_615_lr,average,3.0204999999999997
ruler_615_lr-rev,average,3.0204999999999997
ruler_616_r,average,3.0204999999999997
ruler_617_r,average,3.0204999999999997
ruler_618_r,average,3.0204999999999997
ruler_619_lr,average,3.0204999999999997
ruler_619_lr-rev,average,3.0204999999999997
ruler_620_r,average,3.0204999999999997
ruler_621_r,average,3.0204999999999997
ruler_622_lr,average,3.0204999999999997
ruler_622_lr-rev,average,3.0204999999999997
ruler_623_r,average,3.0204999999999997
ruler_624_r,average,3.0204999999999997
ruler_625_r,average,3.0204999999999997
ruler_626_lr,average,3.0204999999999997
ruler_626_lr-rev,average,3.0204999999999997
ruler_627_r,average,3.0204999999999997
ruler_628_lr,average,3.0204999999999997
ruler_628_lr-rev,average,3.0204999999999997
ruler_629_lr,average,3.0204999999999997
ruler_629_lr-rev,average,3.0204999999999997
ruler_630_lr,average,3.0204999999999997
ruler_630_lr-rev,average,3.0204999999999997
ruler_631_r,average,3.0204999999999997
ruler_632_r,average,3.0204999999999997
ruler_633_r,average,3.0204999999999997
ruler_634_r,average,3.0204999999999997
ruler_635_lr,average,3.0204999999999997
ruler_635_lr-rev,average,3.0204999999999997
ruler_636_r,average,3.0204999999999997
ruler_637_r,average,3.0204999999999997
ruler_638_lr,average,3.0204999999999997
ruler_638_lr-rev,average,3.0204999999999997
ruler_639_r,average,3.0204999999999997
ruler_640_r,average,3.0204999999999997
ruler_641_r,average,3.0204999999999997
ruler_642_r,average,3.0204999999999997
ruler_643_lr,average,3.0204999999999997
ruler_643_lr-rev,average,3.0204999999999997
ruler_644_r,average,3.0204999999999997
ruler_645_r,average,3.0204999999999997
ruler_646_lr,average,3.0204999999999997
ruler_646_lr-rev,average,3.0204999999999997
ruler_647_r,average,3.0204999999999997
ruler_648_r,average,3.0204999999999997
ruler_649_lr,average,3.0204999999999997
ruler_649_lr-rev,average,3.0204999999999997
ruler_650_r,average,3.0204999999999997
ruler_651_r,average,3.0204999999999997
ruler_652_r,average,3.0204999999999997
ruler_653_r,average,3.0204999999999997
ruler_654_r,average,3.0204999999999997
ruler_655_r,average,3.0204999999999997
ruler_656_r,average,3.0204999999999997
ruler_657_r,average,3.0204999999999997
ruler_658_r,average,3.0204999999999997
ruler_659_r,average,3.0204999999999997
ruler_660_r,average,3.0204999999999997
ruler_661_r,average,3.0204999999999997
ruler_662_r,average,3.0204999999999997
ruler_663_r,average,3.0204999999999997
ruler_664_lr,average,3.0204999999999997
ruler_664_lr-rev,average,3.0204999999999997
ruler_665_lr,average,3.0204999999999997
ruler_665_lr-rev,average,3.0204999999999997
ruler_666_r,average,3.0204999999999997
ruler_667_lr,average,3.0204999999999997
ruler_667_lr-rev,average,3.0204999999999997
ruler_668_lr,average,3.0204999999999997
ruler_668_lr-rev,average,3.0204999999999997
ruler_669_lr,average,3.0204999999999997
ruler_669_lr-rev,average,3.0204999999999997
ruler_670_r,average,3.0204999999999997
ruler_671_r,average,3.0204999999999997
ruler_672_lr,average,3.0204999999999997
ruler_672_lr-rev,average,3.0204999999999997
ruler_673_lr,average,3.0204999999999997
ruler_673_lr-rev,average,3.0204999999999997
ruler_674_r,average,3.0204999999999997
ruler_675_lr,average,3.0204999999999997
ruler_675_lr-rev,average,3.0204999999999997
ruler_676_r,average,3.0204999999999997
ruler_677_r,average,3.0204999999999997
ruler_678_r,average,3.0204999999999997
ruler_679_lr,average,3.0204999999999997
ruler_679_lr-rev,average,3.0204999999999997
ruler_680_r,average,3.0204999999999997
ruler_681_lr,average,3.0204999999999997
ruler_681_lr-rev,average,3.0204999999999997
ruler_682_r,average,3.0204999999999997
ruler_683_r,average,3.0204999999999997
ruler_684_r,average,3.0204999999999997
ruler_685_r,average,3.0204999999999997
ruler_686_r,average,3.0204999999999997
ruler_687_r,average,3.0204999999999997
ruler_688_r,average,3.0204999999999997
ruler_689_r,average,3.0204999999999997
ruler_690_r,average,3.0204999999999997
ruler_691_r,average,3.0204999999999997
ruler_692_r,average,3.0204999999999997
ruler_693_r,average,3.0204999999999997
ruler_694_r,average,3.0204999999999997
ruler_695_r,average,3.0204999999999997
ruler_696_r,average,3.0204999999999997
ruler_697_r,average,3.0204999999999997
ruler_698_r,average,3.0204999999999997
ruler_699_r,average,3.0204999999999997
ruler_700_r,average,3.0204999999999997
ruler_701_r,average,3.0204999999999997
ruler_702_r,average,3.0204999999999997
